player,ipo_price,final_payout,roi,name,position,fantasy_points_scored,sector_code,date
Jaylen Brown,8.7,8.5,-0.022988505747126357,NBA Daily Main Market 10/30,SF,38,NBA,2022-10-30
Jayson Tatum,11.5,6.84,-0.40521739130434786,NBA Daily Main Market 10/30,SF,34.5,NBA,2022-10-30
Devin Booker,10.51,10.5,-9.514747859181529e-4,NBA Daily Main Market 10/30,SG,44.25,NBA,2022-10-30
Jamal Murray,3.84,5.5,0.43229166666666674,NBA Daily Main Market 10/30,PG,31.5,NBA,2022-10-30
Marcus Smart,4.15,2.75,-0.3373493975903615,NBA Daily Main Market 10/30,PG,22.25,NBA,2022-10-30
Bradley Beal,6.94,3.3,-0.5244956772334295,NBA Daily Main Market 10/30,SG,25.25,NBA,2022-10-30
Andrew Wiggins,6.24,1.26,-0.7980769230769231,NBA Daily Main Market 10/30,SF,15.25,NBA,2022-10-30
Rudy Gobert,8.66,3.6,-0.584295612009238,NBA Daily Main Market 10/30,C,26,NBA,2022-10-30
Donovan Mitchell,11.01,25,1.270663033605813,NBA Daily Main Market 10/30,SG,68.25,NBA,2022-10-30
Anthony Edwards,8.99,5.67,-0.36929922135706345,NBA Daily Main Market 10/30,SG,31.5,NBA,2022-10-30
Nikola Jokic,15.75,18,0.14285714285714285,NBA Daily Main Market 10/30,C,52,NBA,2022-10-30
Cade Cunningham,8.3,13,0.5662650602409637,NBA Daily Main Market 10/30,PG,47,NBA,2022-10-30
Jarrett Allen,6.02,2.29,-0.6196013289036545,NBA Daily Main Market 10/30,C,20.25,NBA,2022-10-30
Chris Paul,7.38,6.67,-0.09620596205962059,NBA Daily Main Market 10/30,PG,33.25,NBA,2022-10-30
Karl-Anthony Towns,10,16,0.6,NBA Daily Main Market 10/30,C,49.25,NBA,2022-10-30
Stephen Curry,11.7,14,0.19658119658119666,NBA Daily Main Market 10/30,PG,47,NBA,2022-10-30
Anthony Davis,5.77,12,1.079722703639515,NBA Daily Main Market 10/30,PF,46.75,NBA,2022-10-30
Jordan Poole,5.8,9.5,0.6379310344827587,NBA Daily Main Market 10/30,SG,43.75,NBA,2022-10-30
LeBron James,13.2,10,-0.24242424242424238,NBA Daily Main Market 10/30,SF,44,NBA,2022-10-30
Jimmy Butler,9.25,4.63,-0.49945945945945946,NBA Daily Main Market 10/29,SF,31.75,NBA,2022-10-29
Luka Doncic,20.01,25,0.24937531234382798,NBA Daily Late Market 10/29,PG,63.5,NBA,2022-10-29
Andrew Wiggins,6.2,2.5,-0.5967741935483871,NBA Daily Main Market 10/29,SF,23.5,NBA,2022-10-29
Luka Doncic,16.75,20,0.19402985074626866,NBA Daily Main Market 10/29,PG,63.5,NBA,2022-10-29
Shai Gilgeous-Alexander,9.79,18,0.8386108273748725,NBA Daily Main Market 10/29,SG,62,NBA,2022-10-29
James Harden,10.16,6.34,-0.37598425196850394,NBA Daily Main Market 10/29,SG,37.5,NBA,2022-10-29
Shai Gilgeous-Alexander,14.49,20,0.3802622498274672,NBA Daily Late Market 10/29,SG,62,NBA,2022-10-29
Giannis Antetokounmpo,18,16,-0.1111111111111111,NBA Daily Main Market 10/29,PF,61.75,NBA,2022-10-29
Kevin Durant,12.31,10,-0.18765231519090173,NBA Daily Main Market 10/29,SF,45.25,NBA,2022-10-29
Bam Adebayo,7.75,7,-0.0967741935483871,NBA Daily Main Market 10/29,C,39.5,NBA,2022-10-29
Jrue Holiday,7.66,25,2.2637075718015667,NBA Daily Main Market 10/29,PG,64.5,NBA,2022-10-29
Tyrese Haliburton,9.2,12,0.3043478260869566,NBA Daily Main Market 10/29,PG,51.5,NBA,2022-10-29
Dejounte Murray,9.4,6.84,-0.27234042553191495,NBA Daily Main Market 10/29,PG,39.25,NBA,2022-10-29
DeMar DeRozan,7.45,5,-0.3288590604026846,NBA Daily Main Market 10/29,SG,32.75,NBA,2022-10-29
Klay Thompson,3.71,1.58,-0.5741239892183289,NBA Daily Main Market 10/29,SG,18,NBA,2022-10-29
Kyrie Irving,10.4,11.5,0.10576923076923073,NBA Daily Main Market 10/29,PG,48,NBA,2022-10-29
De'Aaron Fox,8.85,6.67,-0.2463276836158192,NBA Daily Main Market 10/29,PG,39.25,NBA,2022-10-29
Domantas Sabonis,8.33,5.34,-0.35894357743097244,NBA Daily Main Market 10/29,PF,33.25,NBA,2022-10-29
Stephen Curry,10.69,14,0.3096351730589336,NBA Daily Main Market 10/29,PG,54.75,NBA,2022-10-29
Trae Young,10.42,15,0.43953934740882916,NBA Daily Main Market 10/29,PG,56,NBA,2022-10-29
Jordan Poole,4.85,5.84,0.20412371134020624,NBA Daily Main Market 10/29,SG,37,NBA,2022-10-29
Zach LaVine,6.7,3,-0.5522388059701493,NBA Daily Main Market 10/29,SG,24.5,NBA,2022-10-29
Joel Embiid,12.5,7.25,-0.42,NBA Daily Main Market 10/29,C,39.75,NBA,2022-10-29
RJ Barrett,3.56,2.36,-0.3370786516853933,NBA Daily Main Market 10/28,SG,27.25,NBA,2022-10-28
James Harden,11.55,1.2,-0.8961038961038962,NBA Daily Main Market 10/28,SG,22.5,NBA,2022-10-28
Jaylen Brown,6.46,9.5,0.47058823529411764,NBA Daily Main Market 10/28,SF,49,NBA,2022-10-28
Giannis Antetokounmpo,18.05,18,-0.0027700831024931143,NBA Daily Main Market 10/28,PF,63.5,NBA,2022-10-28
Devin Booker,7.57,1.32,-0.8256274768824307,NBA Daily Main Market 10/28,SG,23.25,NBA,2022-10-28
Jayson Tatum,9.88,10,0.012145748987854171,NBA Daily Main Market 10/28,SF,50.75,NBA,2022-10-28
Devin Booker,13.2,4.75,-0.6401515151515151,NBA Daily Late Market 10/28,SG,23.25,NBA,2022-10-28
Tyrese Haliburton,6.9,8.75,0.2681159420289854,NBA Daily Main Market 10/28,PG,48,NBA,2022-10-28
Marcus Smart,2.51,2.29,-0.08764940239043816,NBA Daily Main Market 10/28,PG,27.25,NBA,2022-10-28
DeMar DeRozan,8,6,-0.25,NBA Daily Main Market 10/28,SG,37.75,NBA,2022-10-28
Donovan Mitchell,8.09,10.5,0.2978986402966626,NBA Daily Main Market 10/28,SG,52,NBA,2022-10-28
