player,date,num_pos,num_neg,num_neutral,sum_sent_score,total_tweets,avg_sent_score,pos_perc,neg_perc,neutral_perc
Jrue Holiday,2022-10-20,233,66,1,56.5446658799123,300,0.18848221959970768,0.7766666666666666,0.22,0.0033333333333333335
C.J. McCollum,2022-10-20,1,1,0,0.0610321595889887,2,0.03051607979449435,0.5,0.5,0
Klay Thompson,2022-10-20,128,122,57,1.69220376035401,307,0.005512064365973974,0.4169381107491857,0.3973941368078176,0.18566775244299674
Marcus Smart,2022-10-20,130,47,12,20.5617614945721,189,0.10879238886016984,0.6878306878306878,0.24867724867724866,0.06349206349206349
Jarrett Allen,2022-10-20,32,28,8,1.42862136906542,68,0.021009137780373822,0.47058823529411764,0.4117647058823529,0.11764705882352941
RJ Barrett,2022-10-20,127,93,39,0.799341165206106,259,0.0030862593251201,0.49034749034749037,0.3590733590733591,0.15057915057915058
Cade Cunningham,2022-10-20,53,21,30,5.8261453097046,104,0.056020627977928845,0.5096153846153846,0.20192307692307693,0.28846153846153844
Tyrese Haliburton,2022-10-20,45,10,21,6.19990023806114,76,0.0815776347113308,0.5921052631578947,0.13157894736842105,0.27631578947368424
Fred VanVleet,2022-10-20,22,6,3,1.87650342384398,31,0.06053236851109613,0.7096774193548387,0.1935483870967742,0.0967741935483871
Jordan Poole,2022-10-20,172,132,112,6.23370476456893,416,0.014984867222521467,0.41346153846153844,0.3173076923076923,0.2692307692307692
Kahwi Leonard,2022-10-20,1,3,3,-0.399463407636838,7,-0.05706620109097686,0.14285714285714285,0.42857142857142855,0.42857142857142855
Stephen Curry,2022-10-21,444,243,235,28.0283169021455,922,0.03039947603269577,0.48156182212581344,0.2635574837310195,0.25488069414316705
Giannis Antetokounmpo,2022-10-21,89,35,39,7.89232820574461,163,0.04841919144628595,0.5460122699386503,0.2147239263803681,0.2392638036809816
Nikola Jokic,2022-10-21,75,48,43,3.55963041815525,166,0.021443556735875,0.45180722891566266,0.2891566265060241,0.25903614457831325
Luka Doncic,2022-10-21,103,53,32,12.5329778258115,188,0.0666647756692101,0.5478723404255319,0.28191489361702127,0.1702127659574468
Kevin Durant,2022-10-21,268,182,204,19.5113458731973,654,0.02983386219143318,0.40978593272171254,0.2782874617737003,0.3119266055045872
Joel Embiid,2022-10-21,214,202,96,-0.6175136668836,512,-0.0012060813806320312,0.41796875,0.39453125,0.1875
